Piece ID,CBM per Piece,Grade,Last Movement,Length (mm),Lots,Material,Material Status,Material Type,Net Movement,Original Qty,Rack,Remaining Qty,Thickness (mm),Transactions,Unit,Width (mm)
RL-DRG-001,0.017,Doreng,🟢 Receive,2200,RL-0307-001 Doreng (https://app.notion.com/p/RL-0307-001-Doreng-3b2587ac8c78802c84faeb5633e45b3e?pvs=21),,🟢 Available,🌲 Raw Material,0,5,,5,10,TRS/REL/030726/001 (https://app.notion.com/p/TRS-REL-030726-001-3b3587ac8c7880b8a550c0ef772bc1a0?pvs=21),PCS,150
RL-DRG-002,0.010,Doreng,🟢 Receive,1700,RL-0307-001 Doreng (https://app.notion.com/p/RL-0307-001-Doreng-3b2587ac8c78802c84faeb5633e45b3e?pvs=21),,🟢 Available,🌲 Raw Material,0,4,,4,10,TRS/REL/030726/001 (https://app.notion.com/p/TRS-REL-030726-001-3b3587ac8c7880b8a550c0ef772bc1a0?pvs=21),PCS,150
RL-BRS4-001,0.006,B Grade,🟢 Receive,2000,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-002,0.031,B Grade,🟢 Receive,3200,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,2,,2,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,120
RL-BRS4-003,0.017,B Grade,🟢 Receive,3500,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,120
RL-BRS4-004,0.047,B Grade,🟢 Receive,3900,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,2,,2,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,150
RL-BRS4-005,0.010,B Grade,🟢 Receive,3300,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-006,0.006,B Grade,🟢 Receive,3400,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,45
RL-BRS4-007,0.010,B Grade,🟢 Receive,2900,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,45,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,75
RL-BRS4-008,0.006,B Grade,🟢 Receive,1800,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
RL-BRS4-009,0.009,B Grade,🟢 Receive,2900,RL-0307-004 4Thick Beam (https://app.notion.com/p/RL-0307-004-4Thick-Beam-3b2587ac8c788063b53dc1cdcb4f9a68?pvs=21),Beam 4T Relocation (https://app.notion.com/p/Beam-4T-Relocation-3b3587ac8c7880658aa8ce9cc30d5f15?pvs=21),🟢 Available,🌲 Raw Material,0,1,,1,40,TRS/RL/030726/004 (https://app.notion.com/p/TRS-RL-030726-004-3b3587ac8c7880ed8054c4a15fa39692?pvs=21),PCS,80
